Date;Open;High;Low;Close;Volume
2023-07-28 16:00:00;119976.63;120249.67;119954.28;120187.11;230092400
2023-07-28 15:00:00;119965.74;120047.70;119876.59;119968.90;95003500
2023-07-28 14:00:00;120097.12;120097.12;119790.98;119940.26;102108100
2023-07-28 13:00:00;120205.38;120305.31;120041.68;120091.08;70461100
2023-07-28 12:00:00;119953.54;120216.60;119910.07;120202.66;80990400
2023-07-28 11:00:00;120035.08;120219.14;119764.75;119944.64;109957900
2023-07-28 10:00:00;120002.29;120660.21;119706.26;120062.44;161398400
2023-07-27 16:00:00;120499.89;120507.17;119824.52;119989.64;282394200
2023-07-27 15:00:00;120996.72;120996.72;120442.06;120502.38;125968600
2023-07-27 14:00:00;121164.22;121164.22;120933.98;120998.91;103870500
2023-07-27 13:00:00;121281.08;121312.58;121120.95;121170.52;82085700
2023-07-27 12:00:00;121134.73;121383.75;121117.93;121293.89;117398300
2023-07-27 11:00:00;121313.77;121313.77;120800.59;121136.75;153477200
2023-07-27 10:00:00;122560.38;122598.97;121183.52;121301.66;210587000
2023-07-26 16:00:00;122221.59;122695.38;121958.62;122560.38;310225200
2023-07-26 15:00:00;121692.67;122746.72;121689.92;122199.94;147252000
2023-07-26 14:00:00;121827.56;121827.56;121607.94;121722.50;82395800
2023-07-26 13:00:00;121649.65;121998.20;121547.75;121808.57;73776100
2023-07-26 12:00:00;121784.46;121784.46;121437.31;121627.27;92232200
2023-07-26 11:00:00;121934.21;121934.21;121370.43;121759.58;130574500
2023-07-26 10:00:00;122002.76;122224.57;121568.65;121926.81;163398900
2023-07-25 16:00:00;122309.82;122365.97;121984.88;122007.77;251113100
2023-07-25 15:00:00;122250.24;122500.41;122199.73;122265.30;168356600
2023-07-25 14:00:00;121911.94;122289.63;121867.95;122275.69;84231100
2023-07-25 13:00:00;122175.34;122180.87;121882.55;121928.92;81447900
2023-07-25 12:00:00;121928.73;122223.44;121839.65;122198.02;124770200
2023-07-25 11:00:00;122722.56;122844.86;121939.74;121957.24;183120300
2023-07-25 10:00:00;121343.58;123009.90;121343.58;122780.90;251142600
2023-07-24 16:00:00;121158.95;121341.69;121034.91;121341.69;262804200
2023-07-24 15:00:00;120958.94;121369.75;120958.94;121163.39;128319400
2023-07-24 14:00:00;121517.11;121560.31;120987.61;120987.61;139731200
2023-07-24 13:00:00;121650.45;121650.45;121436.32;121496.28;72010000
2023-07-24 12:00:00;121376.42;121771.71;121298.47;121670.14;106841700
2023-07-24 11:00:00;120436.00;121634.67;120172.37;121384.58;162694300
2023-07-24 10:00:00;120219.62;120714.91;120099.34;120368.96;178250600
2023-07-21 16:00:00;120128.76;120361.62;120010.43;120216.77;272882800
2023-07-21 15:00:00;119817.54;120372.03;119799.62;120146.20;90832600
2023-07-21 14:00:00;120179.54;120211.72;119791.88;119796.91;92046800
2023-07-21 13:00:00;120216.09;120285.87;120061.98;120192.98;72263800
2023-07-21 12:00:00;120003.61;120372.77;120003.61;120236.30;125222300
2023-07-21 11:00:00;119826.45;120365.37;119748.09;120019.83;232246600
2023-07-21 10:00:00;118090.40;119827.89;118085.75;119776.17;232856100
2023-07-20 16:00:00;117909.58;118174.41;117813.28;118082.90;235604700
2023-07-20 15:00:00;117905.85;117994.35;117761.96;117924.69;104344000
2023-07-20 14:00:00;117825.82;117970.39;117796.17;117882.93;73306900
2023-07-20 13:00:00;118009.02;118051.12;117735.86;117795.73;84713900
2023-07-20 12:00:00;117980.14;118290.29;117817.01;118015.56;102805900
2023-07-20 11:00:00;117996.68;118078.42;117557.29;118000.97;147774700
2023-07-20 10:00:00;117558.37;118199.79;117484.27;117982.31;150783700
2023-07-19 16:00:00;117709.09;117797.59;117479.72;117552.07;249623500
2023-07-19 15:00:00;117107.66;118011.46;117084.05;117773.44;134661200
2023-07-19 14:00:00;117003.35;117243.40;116912.97;117118.26;90954900
2023-07-19 13:00:00;116660.86;116982.21;116659.55;116982.21;78309600
2023-07-19 12:00:00;117210.92;117210.92;116690.73;116690.73;126243500
2023-07-19 11:00:00;117913.83;117913.83;117218.40;117218.40;131407300
2023-07-19 10:00:00;117841.92;117929.04;117116.82;117830.76;164655100
2023-07-18 16:00:00;117826.58;118043.47;117636.03;117841.19;246461900
2023-07-18 15:00:00;117917.69;118041.28;117836.98;117836.98;96024600
2023-07-18 14:00:00;117557.03;118044.51;117324.10;117940.83;127783900
2023-07-18 13:00:00;118371.01;118395.46;117637.58;117637.58;81528000
2023-07-18 12:00:00;118452.58;118484.36;118042.38;118364.52;72651700
2023-07-18 11:00:00;118727.19;118727.19;118231.07;118464.29;104332500
2023-07-18 10:00:00;118217.99;118731.86;117693.29;118699.73;132773900
2023-07-17 16:00:00;117891.13;118222.61;117827.60;118219.46;223313400
2023-07-17 15:00:00;118137.06;118137.06;117866.23;117886.57;75509600
2023-07-17 14:00:00;117758.87;118302.34;117634.01;118112.16;103906100
2023-07-17 13:00:00;117427.59;117819.30;117414.84;117769.10;59236900
2023-07-17 12:00:00;117328.49;117592.37;117269.76;117331.78;67747900
2023-07-17 11:00:00;117462.78;117632.19;117140.47;117315.95;102800600
2023-07-17 10:00:00;117710.54;117744.69;116591.12;117550.38;189879600
2023-07-14 16:00:00;117602.88;117765.62;117525.54;117710.54;236689100
2023-07-14 15:00:00;117790.42;117841.85;117551.69;117583.25;103077900
2023-07-14 14:00:00;118070.68;118139.80;117838.02;117838.02;90436000
2023-07-14 13:00:00;118420.15;118444.70;117885.08;118089.38;83849200
2023-07-14 12:00:00;118380.85;118565.23;118342.53;118445.09;64484600
2023-07-14 11:00:00;118732.82;118969.57;118080.28;118370.22;134848200
2023-07-14 10:00:00;119268.24;119328.65;118375.75;118738.05;186154400
2023-07-13 16:00:00;119273.77;119394.31;119253.24;119263.89;239746100
2023-07-13 15:00:00;119500.54;119555.67;119190.93;119288.61;107052200
2023-07-13 14:00:00;119641.57;119670.45;119368.90;119498.23;76313500
2023-07-13 13:00:00;119470.52;119739.09;119437.45;119645.65;82579400
2023-07-13 12:00:00;119543.47;119556.58;119186.79;119459.13;110079100
2023-07-13 11:00:00;119603.39;119649.21;119413.77;119538.37;132801800
