Date;Open;High;Low;Close;Volume
2023-07-28 16:45:00;120198.21;120249.67;120139.95;120187.11;127960700
2023-07-28 16:30:00;120011.53;120245.57;120011.53;120201.33;46290200
2023-07-28 16:15:00;120003.44;120108.46;119986.51;120053.48;34672600
2023-07-28 16:00:00;119976.63;120077.95;119954.28;120016.92;21168900
2023-07-28 15:45:00;119886.03;120013.05;119876.59;119968.90;20933800
2023-07-28 15:30:00;119897.70;119979.47;119893.70;119958.52;34124300
2023-07-28 15:15:00;119959.54;119983.28;119883.84;119883.84;18863200
2023-07-28 15:00:00;119965.74;120047.70;119942.35;119961.72;21082200
2023-07-28 14:45:00;119829.98;119982.93;119790.98;119940.26;25465400
2023-07-28 14:30:00;119844.16;119867.91;119797.13;119800.99;26697000
2023-07-28 14:15:00;120041.45;120053.83;119844.07;119846.72;28404500
2023-07-28 14:00:00;120097.12;120097.12;119940.79;120034.83;21541200
2023-07-28 13:45:00;120081.45;120131.93;120041.68;120091.08;13275700
2023-07-28 13:30:00;120125.75;120191.35;120079.34;120086.40;12848200
2023-07-28 13:15:00;120239.52;120276.52;120105.13;120137.09;15462000
2023-07-28 13:00:00;120205.38;120305.31;120158.83;120305.31;28875200
2023-07-28 12:45:00;120114.82;120216.60;120101.41;120202.66;17743100
2023-07-28 12:30:00;120102.88;120164.05;119995.79;120147.41;15903000
2023-07-28 12:15:00;120014.54;120169.10;120014.54;120095.33;28202100
2023-07-28 12:00:00;119953.54;120091.64;119910.07;120039.26;19142200
2023-07-28 11:45:00;119860.45;119944.64;119764.75;119944.64;27776600
2023-07-28 11:30:00;119841.09;119894.76;119770.88;119889.06;22054600
2023-07-28 11:15:00;120020.42;120203.41;119857.56;119864.89;28190700
2023-07-28 11:00:00;120035.08;120219.14;119975.05;120001.32;31936000
2023-07-28 10:45:00;119889.90;120149.27;119877.16;120062.44;30420100
2023-07-28 10:30:00;120061.37;120159.31;119706.26;119955.80;45963600
2023-07-28 10:15:00;120147.86;120660.21;120147.86;120167.30;43146200
2023-07-28 10:00:00;120002.29;120311.60;120002.29;120195.72;41868500
2023-07-27 16:45:00;119835.17;120066.45;119824.52;119989.64;158847100
2023-07-27 16:30:00;120220.91;120441.26;119856.99;119874.72;56865100
2023-07-27 16:15:00;120420.55;120473.56;120175.83;120175.83;36970000
2023-07-27 16:00:00;120499.89;120507.17;120304.99;120406.79;29712000
2023-07-27 15:45:00;120556.69;120677.91;120484.98;120502.38;32808600
2023-07-27 15:30:00;120480.17;120549.54;120460.34;120549.54;25753600
2023-07-27 15:15:00;120480.05;120641.35;120442.06;120492.30;34749600
2023-07-27 15:00:00;120996.72;120996.72;120493.74;120493.74;32656800
2023-07-27 14:45:00;121057.49;121057.49;120951.03;120998.91;24118800
2023-07-27 14:30:00;121105.70;121149.98;120933.98;121015.51;30295100
2023-07-27 14:15:00;121131.07;121145.80;120975.08;121097.03;25786700
2023-07-27 14:00:00;121164.22;121164.22;120987.02;121129.52;23669900
2023-07-27 13:45:00;121242.19;121242.19;121120.95;121170.52;22576600
2023-07-27 13:30:00;121230.00;121305.10;121230.00;121237.27;18321200
2023-07-27 13:15:00;121228.99;121238.76;121187.19;121232.20;19356800
2023-07-27 13:00:00;121281.08;121312.58;121230.77;121277.55;21831100
2023-07-27 12:45:00;121285.20;121340.85;121285.20;121293.89;16499500
2023-07-27 12:30:00;121286.24;121341.98;121213.58;121305.35;19525700
2023-07-27 12:15:00;121242.13;121383.75;121219.35;121279.94;34723600
2023-07-27 12:00:00;121134.73;121337.16;121117.93;121289.74;46649500
2023-07-27 11:45:00;121075.09;121176.01;121042.41;121136.75;35980800
2023-07-27 11:30:00;120933.06;121064.14;120880.92;121064.14;28205500
2023-07-27 11:15:00;120958.70;121084.25;120800.59;121031.07;48579500
2023-07-27 11:00:00;121313.77;121313.77;120942.13;120942.13;40711400
2023-07-27 10:45:00;121569.17;121577.30;121183.52;121301.66;52383200
2023-07-27 10:30:00;122040.60;122103.95;121317.20;121561.98;51586800
2023-07-27 10:15:00;122578.97;122578.97;122029.58;122032.22;53403800
2023-07-27 10:00:00;122560.38;122598.97;122408.80;122590.14;53213200
2023-07-26 16:45:00;122695.38;122695.38;122505.67;122560.38;191900500
2023-07-26 16:30:00;122119.32;122663.89;122119.32;122663.89;56437900
2023-07-26 16:15:00;122118.16;122182.30;122003.57;122118.29;26893100
2023-07-26 16:00:00;122221.59;122303.14;121958.62;122123.01;34993700
2023-07-26 15:45:00;122602.93;122678.26;122199.94;122199.94;33721200
2023-07-26 15:30:00;121966.28;122746.72;121966.28;122746.72;62820000
2023-07-26 15:15:00;121854.52;121990.46;121794.56;121893.41;20399200
2023-07-26 15:00:00;121692.67;121948.82;121689.92;121844.74;30311600
2023-07-26 14:45:00;121730.98;121824.11;121629.45;121722.50;24153100
2023-07-26 14:30:00;121676.90;121739.99;121607.94;121739.99;23218600
2023-07-26 14:15:00;121752.28;121768.67;121630.56;121680.24;13334700
2023-07-26 14:00:00;121827.56;121827.56;121667.74;121760.88;21689400
2023-07-26 13:45:00;121882.85;121998.20;121808.57;121808.57;18071300
2023-07-26 13:30:00;121680.17;121904.55;121638.20;121877.01;20573900
2023-07-26 13:15:00;121583.04;121716.45;121568.66;121688.40;14480000
2023-07-26 13:00:00;121649.65;121683.67;121547.75;121595.03;20650900
2023-07-26 12:45:00;121490.42;121644.39;121490.42;121627.27;16697500
2023-07-26 12:30:00;121523.12;121555.48;121461.65;121497.55;21233000
2023-07-26 12:15:00;121512.68;121589.68;121437.31;121543.16;26831500
2023-07-26 12:00:00;121784.46;121784.46;121460.05;121486.45;27470200
2023-07-26 11:45:00;121640.96;121830.46;121640.96;121759.58;29326200
2023-07-26 11:30:00;121703.80;121715.27;121535.71;121657.59;21785100
2023-07-26 11:15:00;121471.55;121727.02;121370.43;121696.28;30899000
2023-07-26 11:00:00;121934.21;121934.21;121441.96;121443.56;48564200
2023-07-26 10:45:00;121973.47;122060.95;121863.27;121926.81;32645800
2023-07-26 10:30:00;121618.49;122224.57;121618.49;122039.38;43943500
2023-07-26 10:15:00;121840.13;121973.64;121662.54;121662.54;40250800
2023-07-26 10:00:00;122002.76;122015.64;121568.65;121889.88;46558800
2023-07-25 16:45:00;122064.61;122107.56;121984.88;122007.77;140656200
2023-07-25 16:30:00;122163.17;122278.41;122008.48;122039.40;50867700
2023-07-25 16:15:00;122365.97;122365.97;122121.61;122133.29;35595400
2023-07-25 16:00:00;122309.82;122361.27;122294.91;122361.27;23993800
2023-07-25 15:45:00;122321.53;122378.63;122221.76;122265.30;39463300
2023-07-25 15:30:00;122379.53;122500.41;122286.97;122329.35;55741000
2023-07-25 15:15:00;122282.97;122394.49;122234.48;122394.49;43498500
2023-07-25 15:00:00;122250.24;122351.67;122199.73;122310.40;29653800
2023-07-25 14:45:00;122211.27;122289.63;122154.14;122275.69;24896200
2023-07-25 14:30:00;122126.45;122197.93;122106.10;122194.68;19418300
2023-07-25 14:15:00;121976.92;122158.19;121962.86;122125.14;20243600
2023-07-25 14:00:00;121911.94;121982.16;121867.95;121955.62;19673000
2023-07-25 13:45:00;121960.04;122032.69;121920.48;121928.92;21537800
2023-07-25 13:30:00;122038.44;122038.44;121882.55;121920.92;22385300
2023-07-25 13:15:00;121978.73;122114.00;121970.22;122037.07;18483200
2023-07-25 13:00:00;122175.34;122180.87;121985.95;121990.68;19041600
2023-07-25 12:45:00;122162.28;122210.66;122101.97;122198.02;20802900
2023-07-25 12:30:00;121954.04;122223.44;121887.26;122193.68;32609200
2023-07-25 12:15:00;121956.57;121980.96;121839.65;121959.94;25688500
2023-07-25 12:00:00;121928.73;122051.64;121862.84;121951.36;45669600
2023-07-25 11:45:00;122331.91;122346.80;121939.74;121957.24;46289500
2023-07-25 11:30:00;122464.83;122487.06;122299.13;122344.36;37688100
2023-07-25 11:15:00;122703.61;122703.61;122480.18;122485.53;47639800
2023-07-25 11:00:00;122722.56;122844.86;122575.46;122762.74;51502900
2023-07-25 10:45:00;122481.17;122875.87;122481.17;122780.90;50716800
2023-07-25 10:30:00;122812.54;122812.54;122372.32;122655.68;64908000
2023-07-25 10:15:00;122845.62;123009.90;122708.22;122835.94;70344000
