Date;Open;High;Low;Close
29/08/2023 16:45;118280.80;118423.11;118280.80;118403.61
29/08/2023 16:30;118126.13;118369.35;118125.27;118306.41
29/08/2023 16:15;118208.86;118240.42;118151.93;118151.93
29/08/2023 16:00;118280.73;118296.83;118157.56;118191.74
29/08/2023 15:45;118227.00;118285.38;118178.74;118266.56
29/08/2023 15:30;118080.48;118250.51;118033.57;118250.51
29/08/2023 15:15;118025.72;118086.17;117971.03;118086.17
29/08/2023 15:00;118077.09;118119.69;117993.24;118030.27
29/08/2023 14:45;118039.85;118099.09;118008.70;118071.94
29/08/2023 14:30;117994.65;118072.36;117987.43;118029.26
29/08/2023 14:15;117951.54;118021.49;117947.89;117982.03
29/08/2023 14:00;117858.85;117997.31;117841.45;117963.70
29/08/2023 13:45;117732.63;117832.31;117642.19;117832.31
29/08/2023 13:30;117887.84;117908.90;117711.16;117711.16
29/08/2023 13:15;118053.88;118053.88;117790.99;117868.29
29/08/2023 13:00;118058.03;118098.92;117957.08;118057.11
29/08/2023 12:45;118195.85;118297.04;118054.84;118054.84
29/08/2023 12:30;118128.62;118253.72;118092.51;118237.42
29/08/2023 12:15;118214.05;118214.05;118094.75;118147.08
29/08/2023 12:00;118220.92;118297.53;118127.68;118237.58
29/08/2023 11:45;118239.21;118275.16;118160.86;118237.68
29/08/2023 11:30;118238.45;118493.13;118238.45;118251.12
29/08/2023 11:15;118103.43;118235.31;118089.01;118208.67
29/08/2023 11:00;117563.17;118214.16;117563.17;118095.66
29/08/2023 10:45;117500.71;117636.13;117479.80;117572.80
29/08/2023 10:30;117732.88;117732.88;117400.28;117518.11
29/08/2023 10:15;118157.72;118157.72;117744.60;117744.60
29/08/2023 10:00;117123.70;118164.11;117123.70;118140.99
28/08/2023 16:45;117102.18;117252.99;117102.18;117120.98
28/08/2023 16:30;116953.28;117121.47;116882.63;117121.47
28/08/2023 16:15;116907.76;117012.44;116902.33;116952.75
28/08/2023 16:00;116563.60;116946.73;116548.95;116887.70
28/08/2023 15:45;116395.01;116592.01;116378.79;116576.45
28/08/2023 15:30;116396.02;116499.47;116358.91;116395.88
28/08/2023 15:15;116247.80;116452.08;116235.70;116406.37
28/08/2023 15:00;116201.31;116241.81;116100.91;116241.81
28/08/2023 14:45;116277.95;116293.65;116084.28;116192.59
28/08/2023 14:30;116351.50;116374.30;116232.77;116251.51
28/08/2023 14:15;116449.63;116449.63;116352.69;116373.58
28/08/2023 14:00;116398.04;116485.12;116398.04;116458.95
28/08/2023 13:45;116518.15;116586.68;116398.89;116398.89
28/08/2023 13:30;116429.76;116556.39;116385.33;116524.04
28/08/2023 13:15;116422.63;116422.63;116302.28;116408.11
28/08/2023 13:00;116418.21;116512.39;116406.47;116427.78
28/08/2023 12:45;116360.79;116492.97;116360.79;116423.55
28/08/2023 12:30;116193.86;116349.22;116193.86;116345.10
28/08/2023 12:15;116235.15;116253.28;116144.09;116173.07
28/08/2023 12:00;116119.11;116239.84;116102.39;116189.99
28/08/2023 11:45;116179.96;116179.96;115971.76;116105.19
28/08/2023 11:30;116099.85;116187.37;115937.67;116187.37
28/08/2023 11:15;116321.63;116398.22;116076.29;116118.43
